# HELP cadvisor_version_info A metric with a constant '1' value labeled by kernel version, OS version, docker version, cadvisor version & cadvisor revision.
# TYPE cadvisor_version_info gauge
cadvisor_version_info{cadvisorRevision="6f3f25ba",cadvisorVersion="v0.49.1",dockerVersion="",kernelVersion="6.6.87.2-microsoft-standard-WSL2",osVersion="Alpine Linux v3.18"} 1
# HELP container_blkio_device_usage_total Blkio Device bytes usage
# TYPE container_blkio_device_usage_total counter
container_fs_inodes_total{device="/rootfs/run/desktop/mnt/host/wsl",id="/"} 1.531294e+06 1774266321495
container_fs_inodes_total{device="/rootfs/run/desktop/mnt/host/wsl/docker-desktop-bind-mounts/Ubuntu/docker.sock",id="/"} 1.531294e+06 1774266321495
container_fs_inodes_total{device="/rootfs/run/desktop/mnt/host/wsl/docker-desktop/shared-sockets/guest-services",id="/"} 1.531294e+06 1774266321495
container_fs_inodes_total{device="/rootfs/run/desktop/mnt/host/wsl/docker-desktop/shared-sockets/host-services",id="/"} 1.531294e+06 1774266321495
container_fs_inodes_total{device="/rootfs/run/desktop/mnt/host/wslg",id="/"} 1.531294e+06 1774266321495
container_fs_inodes_total{device="/rootfs/run/guest-services",id="/"} 1.531294e+06 1774266321495
container_fs_inodes_total{device="/rootfs/run/host-services",id="/"} 1.531294e+06 1774266321495
container_fs_inodes_total{device="/rootfs/run/shm",id="/"} 1.531294e+06 1774266321495
container_fs_inodes_total{device="/rootfs/run/telemetry",id="/"} 1.531294e+06 1774266321495
container_fs_inodes_total{device="/rootfs/tmp",id="/"} 1.531294e+06 1774266321495
container_fs_inodes_total{device="/rootfs/var",id="/"} 1.531294e+06 1774266321495
container_fs_inodes_total{device="/rootfs/var/lib/docker/rootfs/overlayfs/da3819a620d9ccb7def2c25d62db4669969b65dd70c8d2a4064136b3b9d192d9/dev",id="/"} 1.531294e+06 1774266321495
container_fs_inodes_total{device="/rootfs/var/lib/docker/rootfs/overlayfs/da3819a620d9ccb7def2c25d62db4669969b65dd70c8d2a4064136b3b9d192d9/dev/shm",id="/"} 1.531294e+06 1774266321495
container_fs_inodes_total{device="/run",id="/"} 1.531294e+06 1774266321495
container_fs_inodes_total{device="/run/desktop/mnt/host/wsl",id="/"} 1.531294e+06 1774266321495
container_fs_inodes_total{device="/run/desktop/mnt/host/wsl/docker-desktop-bind-mounts/Ubuntu/docker.sock",id="/"} 1.531294e+06 1774266321495
container_fs_inodes_total{device="/run/desktop/mnt/host/wsl/docker-desktop/shared-sockets/guest-services",id="/"} 1.531294e+06 1774266321495
container_fs_inodes_total{device="/run/desktop/mnt/host/wsl/docker-desktop/shared-sockets/host-services",id="/"} 1.531294e+06 1774266321495
container_fs_inodes_total{device="/run/desktop/mnt/host/wslg",id="/"} 1.531294e+06 1774266321495
container_fs_inodes_total{device="/run/guest-services",id="/"} 1.531294e+06 1774266321495
container_fs_inodes_total{device="/run/host-services",id="/"} 1.531294e+06 1774266321495
